,season,episode,speaker,text_bound
0,1,1,barney ," hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians. Okay, meet me at the bar in fifteen minutes, and Suit up! Where's your suit!? Just once when I say suit up, I wish you'd put on a suit. It was a blazer! I see what this is about. Have you forgotten what I said to you the night we met? Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal. Lesson one, lose the goatee. It doesn't look good with your suit. Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty. I thought I was your best friend. Ted, say I'm your best friend. Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?""  Hi, have you met Ted? (Leaves and watches from a distance).  how does Carl land a Lebanese girl? Exactly-the guy doesn't even own a suit!  Hey, have you met Ted?  De-wait for it-nied! Denied! I thought we were playing laser tag tomorrow night?  Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I k*lled you Connor; don't make me get your mom! Okay, meet me at the bar in fifteen minutes-AND SUIT UP! I can't believe you're still not wearing a SUIT! What is she goanna-is she goanna bat her eyes at you in Morse code (bats eyes)?? Ted (bats eyes) Kiss me-No, you just kiss her! Ee-(Kisses Marshal) Did Marshall give me the signal? But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her. A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again. Actually, that is a perfect metaphor. By the way, did I congratulate you two? (Raises glass to Lily and Marshall) Alright, but under one condition.  look at you, you beautiful b*st*rd, you suited up! This is totally going in my blog! Ted's goanna get it on with a TV reporter (nods. Laughs.) This just in. Okay (holds hand up for high-fives) Why does he get to be the best man? (Shouts out) I'M YOUR BEST FRIEND! You're wearing a suit! So, (looks to the cabdriver) Ranjit... you must've done it with a Lebanese girl. The women hot there?  Simple no would have sufficed. (To Ranjit) She's lovely. So, Marshall. This ""Olive Theory"" based on you and Lily? You hate olives? Lily loves them, you can't stand them. Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up? I swear. But you like olives! Marshall, I'm going to get you an early wedding present. Don't get married. Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it. Why are we still sitting here? Let's go! We can still make last call. What do you say Lil? (Pirate Accent) Yo, ho ho and a bottle o' rum? (Silence) 'Cuz you're a pirate... You think they're doing it in front of the dogs? I had this girl in college; she had a golden retriever- Hit it Ranjit. (They drive off) There's no such thing as the signal. But yeah-that was the signal. Yeah Ted, we're not on you anymore."
1,1,1,cabdriver ,"Whoa, whoa, whoa-did you hit her? no, no, no, no-it's okay, go on. (Turns meter on.) So these, spankin's...you in pajamas or going ""naturelle"""
2,1,1,carl ,"By the way, you should've kissed her."
3,1,1,daughter ,"Yeah, is this going to take a while? I thought this was about how you met mom!"
4,1,1,lily ,"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy (takes coat off revealing a purple hand print on her right breast) got to second base with me. Wow, you're cooking? Aww-(They kiss) Are you sure that's a good idea after last time? You looked really creepy without eyebrows. So there's more surprises? Like what? Aw-honey. Champagne! (hands it to Marshall)  No, you are too old to be scared to open a bottle of champagne! Then open it! You are unbelievable, Marshall. No-(Scene splits in half and shows both Lily and Marshall on top arguing and Ted and Yasmine on the bottom mingling) Of course, you idiot! (hugs him and they fall back) Did you know there's a pop tart under your fridge? aww (claps. They kiss)  Hit me? Please, this guy could barely even spank me in bed for fun. He's all like, (hits ice in bag using to cover eye) ""Oh, did that hurt?"" and I'm like, ""Come on, let me have it you pansy!"" (realizes) Wow, complete stranger. How long have you been sitting there!? Stupid eye patch. The olive theory. wait, it's only the break of ten-thirty. What happened? Aww, Ted that's so sweet. So you chickened out like the little bitch. Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him. Ooo. She's cute! (To Carl) Hey Carl, turn it up! Let's go (pulls Marshall up) We're coming with you. Kiss her, Ted. Kiss her good. No! Okay-that's my Barney Limit. (Starts to leave the cab) I'm goanna see if that Bodega has a bathroom. (Leaves) We'll make it work. (They kiss.) Okay, eye patch gone-(takes eye patch off and throws it at Barney) And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support. Okay, we can go to the bar, just stop talking. That long lingering handshake-you should've kissed her! I am so turned on right now.  to the future!"
5,1,1,marshal ,"Ah, Carl thank you. Something I gotta do."
6,1,1,marshall ," Will you marry me. Got it. Thanks for helping me plan this out, Ted.  yeah, sorry. We thought you were asleep. Yeah, what are you doing tonight? Hey! Yes, I am. I can handle this; I'm full of surprises tonight. BOOGITY BOO! And that's all of them! I'm goanna go... cook. (Leaves) Okay, look what I got (runs to the fridge. Takes out wine bottle)  Yeah. (hands it back) I'm not scared. Fine (takes bottle. Looks at it for a couple of seconds) Please open it (hands it to Lily)  will you marry me? I promised Ted we wouldn't do that. No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé. I don't know why I was so scared of this. Pretty easy right? (Pops cork, hit's Lily's eye)  OH! I'm sorry, Lily. I'm so sorry. Take us to the hospital. Lilly? Oh let's see (thinks) she likes dogs? Can quote obscure lines from ""Ghostbusters""? She hates olives! Awesome! Oh, it is on! It is on (imitates robot) till the break of dawn. So? Did you kiss her? No! (To Lily) I didn't, I swear. Huh, guy didn't jump Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy! Word up! Kiss the crap out of that girl Go back in there! He's in. Yeah... Yeah, hate olives.  You have to swear that this does not leave this cab. On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, ""Sure... I hate olives."" Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives. Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women (Lily appears behind Marshall in the open window) doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives. It's been like twenty minutes. You think they're doin' it? Doggie style. (Laughs) That was the signal!  To my fiancé!"
7,1,1,narrator ,"Kids, I'm going to tell you an incredible story. The story of how I met your mother No Yes. (Kids are annoyed) Twenty-five years ago, before I was dad, I had this whole other life. It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up. What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney. Marshall was in his second year of law school, so he was pretty good at thinking on his feet. There are two big questions a man has to ask in life. One you plan out for months, the other just slips out when you're half drunk at some bar. and there she was. It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, ""see that girl? I'm going to marry her someday"" The next night, I took her out to this little bistro in Brooklyn. Son, a piece of advice. When you go on a first date you really don't wanna say ""smurf pen1s"". Girls don't ordinarily like that. But that was no ordinary girl. As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not. I asked her about it years later, and yeah, that was the signal. I could've kissed her. But that's the funny thing about destiny. Will you relax? I'm getting to it. (Son and daughter sit back unpleased) like I said:"
8,1,1,producer ," there you are! We've got a jumper! Some crazy guy on the Manhattan Bridge. Come on, you're covering it!"
9,1,1,rangit ,Signal (nods)
